z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,sw_lints,1866,BTCUSDT,-7.036529372157885,-0.8013202028631761,-6.285576765785416,-6.285576765785416,2000,1098,0.549,360,180,180,0.182,0.1415,0.0405,0.182,0.1415,0.0405,0.3595,0.6405,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1866,ETHUSDT,-13.30080560161565,-5.502067293343938,-8.252813669988779,-8.252813669988779,2000,1083,0.5415,403,202,201,0.2615,0.2085,0.053,0.2615,0.2085,0.053,0.4025,0.5975,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1866,SOLUSDT,-12.376882799046896,-2.1906380729931008,-10.414386236008355,-10.414386236008355,2000,1062,0.531,363,182,181,0.198,0.154,0.044,0.198,0.154,0.044,0.3635,0.6365,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1966,BTCUSDT,-6.76349468920473,-0.5605315733608229,-6.23792867559435,-6.23792867559435,2000,1147,0.5735,368,184,184,0.177,0.1365,0.0405,0.177,0.1365,0.0405,0.368,0.632,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1966,ETHUSDT,-11.498214055224699,-4.945112971557397,-6.894018065274709,-6.894018065274709,2000,1068,0.534,391,196,195,0.2365,0.188,0.0485,0.2365,0.188,0.0485,0.3905,0.6095,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1966,SOLUSDT,-6.946974721080823,1.833732623715023,-8.622592061160484,-8.622592061160484,2000,1058,0.529,370,185,185,0.2165,0.173,0.0435,0.2165,0.173,0.0435,0.3695,0.6305,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,2066,BTCUSDT,-9.9028922710805,-1.995123627833184,-8.068750184652151,-8.068750184652151,2000,1147,0.5735,372,186,186,0.1975,0.1575,0.04,0.1975,0.1575,0.04,0.372,0.628,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,2066,ETHUSDT,-9.632306590002093,-3.104939933715456,-6.736531926211054,-6.736531926211054,2000,1086,0.543,407,204,203,0.2505,0.198,0.0525,0.2505,0.198,0.0525,0.406,0.594,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,2066,SOLUSDT,-11.123344033187765,-1.6348753320132747,-9.646171580833196,-9.646171580833196,2000,1028,0.514,363,182,181,0.203,0.159,0.044,0.203,0.159,0.044,0.3635,0.6365,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,2166,BTCUSDT,-3.8176100812880476,-0.09353968981631322,-3.7275571368552862,-3.7275571368552862,2000,1185,0.5925,354,177,177,0.18,0.1445,0.0355,0.18,0.1445,0.0355,0.354,0.646,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,2166,ETHUSDT,-12.21292713874924,-5.377812289118433,-7.223585730775451,-7.223585730775451,2000,1074,0.537,418,209,209,0.272,0.2205,0.0515,0.272,0.2205,0.0515,0.418,0.582,1.0,0.995
