feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
ADX_14_scaled,33984,15,0.0029425612052730865,0.4971162900188324,0.49416989586194254,7.641917145044236e-05,0.0029463941568898533,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,11.0,1,exit_hold
ema_slope_50_z,33984,15,0.0027071563088512107,0.4968808851224105,0.4941705736693984,8.461275158722739e-05,0.002710311453012093,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,12.0,1,exit_hold
log_ret_168_z,33984,15,0.002648305084745728,0.49682203389830504,0.49418189067132234,9.070890124957538e-05,0.002640143226982694,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,13.0,1,exit_hold
bb_pos_20_norm,33984,15,0.0025306026365348733,0.4967043314500942,0.49415733354097946,8.84447335606366e-05,0.0025469979091147232,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,14.0,1,exit_hold
RSI_72_bounded,33984,15,0.0024717514124293904,0.4966454802259887,0.4941743463174887,7.538478640942933e-05,0.0024711339085000117,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,15.0,1,exit_hold
ema_spread_100_200_z,33984,15,0.0021774952919020873,0.4963512241054614,0.49418459417243327,0.0001082028033085842,0.0021666299330281302,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,16.0,1,exit_hold
dist_to_high_168_sqrt_z,33984,15,0.0017066854990583913,0.4958804143126177,0.4941598601311228,9.637623959084761e-05,0.0017205541814949155,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,17.0,1,exit_hold
dist_ema_200_z,33984,15,0.0017066854990583913,0.4958804143126177,0.49418637134592625,8.201651370914984e-05,0.0016940429666914558,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,18.0,1,exit_hold
vol_ratio_168_log1p_z,33984,15,0.001647834274952964,0.4958215630885123,0.4941780901609381,7.38409317607716e-05,0.0016434729275741633,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,19.0,1,exit_hold
vol_expansion_72_log1p_z,33984,15,0.0015889830508473701,0.4957627118644067,0.4941802094892072,9.050950125392857e-05,0.0015825023751994682,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,20.0,1,exit_hold
RSI_30_bounded,33984,15,0.0014124293785310327,0.49558615819209034,0.4941868384703795,7.095016860179246e-05,0.0013993197217108677,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,21.0,1,exit_hold
dist_to_high_24_sqrt_z,33984,15,0.0013535781544256054,0.4955273069679849,0.49418699568971475,6.246722331287073e-05,0.0013403112782701676,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,22.0,1,exit_hold
ret_accel_6_24_z,33984,15,0.0012358757062147507,0.49540960451977406,0.4941779226417687,7.520680431428442e-05,0.001231681878005375,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,23.0,1,exit_hold
MOM_pct_14_z,33984,15,0.0011181732580037296,0.49529190207156304,0.4941561299390077,7.998368846174887e-05,0.001135772132555335,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,24.0,1,exit_hold
