feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
volatility_24_sqrt_z,33984,15,0.001118173258003674,0.5059439736346515,0.5048516290481264,0.0001642303932982814,0.0010923445865250736,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,43.0,0,entry
MOM_pct_14_z,33984,15,0.001118173258003674,0.5059439736346515,0.5048534072420617,0.00010414740821941243,0.0010905663925897535,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,44.0,0,entry
log_ret_72_z,33984,15,0.0010593220338983578,0.5058851224105462,0.5048388946776317,7.879664261318865e-05,0.0010462277329145175,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,45.0,0,entry
MACD_hist_pct_z,33984,15,0.0010004708097928194,0.5058262711864406,0.5048323958778417,0.00010899622953315939,0.0009938753085989571,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,46.0,0,entry
ema_slope_9_z,33984,15,0.0010593220338983578,0.5058851224105462,0.5049508882918391,0.0005710928434178993,0.000934234118707078,0.03333333333333333,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,47.0,0,entry
vol_ratio_72_log1p_z,33984,15,0.0008239171374764265,0.5056497175141242,0.5048357778584157,8.5242695056697e-05,0.0008139396557085288,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,48.0,0,entry
vol_expansion_24_log1p_z,33984,15,0.0008239171374764265,0.5056497175141242,0.5049110390270822,0.0003598764391360257,0.0007386784870420104,0.03333333333333333,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,49.0,0,entry
log_ret_6_z,33984,15,0.0006473634651600335,0.5054731638418078,0.504854138442942,0.00012956494864045954,0.0006190253988658245,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,50.0,0,entry
dist_to_low_72_sqrt_z,33984,15,0.0002942561205273586,0.5051200564971752,0.5048711434903832,0.00022124136292792359,0.00024891300679197315,0.06666666666666667,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,51.0,0,entry
log_ret_168_z,33984,15,0.0,0.5048258003766478,0.5048694352389395,0.0001061658402585278,-4.3634862291641596e-05,0.6333333333333333,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,52.0,0,entry
