interval_minutes,symbol,z_window,series_kind,series_name,n_obs,n_unique,mean,std,adf_stat,adf_pvalue,adf_lags,kpss_stat,kpss_pvalue,kpss_lags,pp_stat,pp_pvalue,pp_lags,test_error,adf_reject_unit_root_5pct,kpss_reject_stationarity_5pct,kpss_not_reject_stationarity_5pct,both_stationary_5pct,stationarity_class
240,ETHUSDT,48,final_feature,dist_to_low_24_sqrt_z,5625,5624,0.03019590745104326,1.2751933163504312,-14.499988610382465,5.954217009257152e-27,32,0.033790217741939126,0.1,40,-17.619560211487997,3.8445296953926504e-30,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,price_pos_in_range_24_norm,5625,5619,0.020641128104507075,0.27380783654994073,-12.440380144249222,3.764963161894453e-23,24,0.31244282075170193,0.1,41,-16.608278051420537,1.7400101041083727e-29,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,dist_to_high_72_sqrt_z,5625,5617,-0.03914826038554293,1.4324967471937904,-11.94564540571944,4.436922749955502e-22,17,0.013220333673878147,0.1,42,-15.613680073658431,1.7669133030043293e-28,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,dist_to_low_72_sqrt_z,5625,5617,-0.08958622756563181,1.4745529106160242,-12.054364219814534,2.5537992093380536e-22,21,0.01856877612042703,0.1,42,-15.616809950174007,1.751878631208648e-28,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,price_pos_in_range_72_norm,5625,5612,0.019608269371399735,0.2759162938936916,-8.522801693267976,1.0891387948679724e-13,17,0.49670647508892674,0.04240845155654804,43,-9.696616797497567,1.100015104877846e-16,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,final_feature,dist_to_high_168_sqrt_z,5625,5613,-0.022621753046504156,1.4250057111066587,-11.56680080077296,3.1718962468454825e-21,17,0.026944969173853885,0.1,42,-15.267849443498468,4.762004006286916e-28,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,dist_to_low_168_sqrt_z,5625,5617,-0.07137463200836244,1.4635417482747473,-11.183154417013697,2.472108234368934e-20,13,0.030315853557832655,0.1,42,-14.917116526965824,1.4296715192974666e-27,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,price_pos_in_range_168_norm,5625,5604,-0.001229225031221429,0.2871526468819015,-5.266476290265127,6.422608072464222e-06,13,0.8727342115815266,0.01,44,-5.950406703382585,2.1539544870403869e-07,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,target_log_return,target_log_ret_horizon_1,5625,5625,-5.2710996711396186e-05,0.014300300770990045,-15.042906549685702,9.535698021641521e-28,20,0.4676792945658044,0.048946104827521535,7,-76.0756316905109,0.0,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,target_log_return,target_log_ret_horizon_3,5625,5623,-0.0001556252788399038,0.02479172387780502,-11.41106914932264,7.248333062105598e-21,33,0.4788527817991518,0.04642955364883969,18,-29.703329154547255,0.0,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
