seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,confirmation_seed,original_trial_number,confirmation_rank,bandit_name,method_group,set_name,z_window
8000,3,-4.416126837663413,0.5,-5.24336047826831,-1.934425915848718,-5.24336047826831,-7.05553459444808,-7.355509950736949,9.844263468800719,13.00212386830375,0.6856996661411822,440,126,0.5183333333333333,0.17016666666666666,0.27749999999999997,0.7225,1.0,0.995,4.0,6.841726618705036,4.0,7.0,0.7985611510791367,0.2014388489208633,9.0,8000,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8001,3,-4.127562416603258,0.5,-5.388526094375372,-0.34467138328691344,-5.388526094375372,-5.7023574817152065,-6.57412434214204,8.103317369574913,10.754697033012906,0.7200371284842428,440,123,0.5183333333333333,0.17699999999999996,0.2855,0.7145,1.0,0.995,4.0,6.556338028169014,4.0,6.0,0.823943661971831,0.176056338028169,8.5,8001,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8002,3,-4.514978111864766,0.5,-5.886656166379237,-0.39994394832135,-5.886656166379237,-6.256695171391684,-6.452413136877599,9.473212077786764,11.247047093271146,0.7068018031905895,434,122,0.5293333333333333,0.17033333333333334,0.27949999999999997,0.7205,1.0,0.995,4.0,6.757142857142857,4.0,6.25,0.8285714285714286,0.17142857142857143,10.0,8002,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8003,3,-4.333647613924129,0.5,-5.351689320599433,-1.2795224938982181,-5.351689320599433,-6.552862056465643,-5.927767793117833,8.869390894565543,11.67352761055519,0.7230436936547565,430,127,0.5225,0.1708333333333333,0.258,0.742,1.0,0.995,4.0,7.48062015503876,4.0,7.0,0.7984496124031008,0.20155038759689922,10.0,8003,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8004,3,-4.127018904706889,0.5,-4.8689141006094045,-1.9013333169993427,-4.8689141006094045,-6.683127115749188,-6.710155333834933,9.392597710357965,10.410575691823809,0.7010784067566251,460,133,0.521,0.1855,0.3015,0.6985,1.0,0.995,4.0,6.112582781456954,4.0,5.0,0.847682119205298,0.152317880794702,8.0,8004,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8005,3,-3.112018232967677,0.5,-3.9187673861175902,-0.6917707735179376,-3.9187673861175902,-4.566747927388669,-4.74625925403026,6.496859427093393,11.146216114962726,0.7751968836129397,451,137,0.5253333333333333,0.1865,0.2935,0.7065,1.0,0.995,4.0,6.408163265306122,4.0,5.0,0.8367346938775511,0.16326530612244897,9.0,8005,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8006,3,-3.825600703921875,0.5,-4.469236888959879,-1.8946921488078639,-4.469236888959879,-6.273781504143216,-7.84590795745409,10.217842694369628,10.562358041447084,0.6758609775547323,456,131,0.5183333333333333,0.18633333333333332,0.3015,0.6985,1.0,0.995,4.0,6.173333333333333,4.0,5.75,0.8733333333333333,0.12666666666666668,8.0,8006,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8007,3,-3.574558341013719,0.5,-4.338235596918372,-1.283526573299761,-4.338235596918372,-5.582541200666786,-6.526496054482966,9.876284929216684,9.895429872045458,0.71820709500359,427,128,0.5243333333333333,0.162,0.26949999999999996,0.7305,1.0,0.995,4.0,7.192592592592592,4.0,8.0,0.7925925925925926,0.2074074074074074,10.0,8007,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8008,3,-4.696301248326394,0.5,-5.58075013670467,-2.042954583191566,-5.58075013670467,-7.4780645494188205,-8.769007783493233,10.197607555649224,13.000895040186489,0.6412840276381043,444,131,0.5219999999999999,0.1708333333333333,0.2835,0.7165,1.0,0.995,4.0,6.711267605633803,4.0,7.0,0.823943661971831,0.176056338028169,9.0,8008,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8009,3,-4.059844358455318,0.5,-5.356507762407436,-0.1698541465989615,-5.356507762407436,-5.481557590325747,-6.961551142336941,8.306273120268258,11.442960537937442,0.6979352739995547,437,129,0.5295,0.17500000000000002,0.27949999999999997,0.7205,1.0,0.995,4.0,6.871428571428571,4.0,6.0,0.8357142857142857,0.16428571428571428,9.0,8009,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
