symbol,z_window,feature_1,feature_2,corr_method,abs_corr
XRPUSDT,24,RSI_14_bounded,RSI_30_bounded,spearman,0.9026794477540694
XRPUSDT,24,dist_ema_50_z,ema_spread_9_21_z,spearman,0.901806738222714
XRPUSDT,24,ema_slope_9_z,MACD_hist_pct_z,spearman,0.9005918597320794
XRPUSDT,24,dist_ema_50_z,bb_pos_20_norm,spearman,0.8901837410768112
XRPUSDT,24,bb_pos_20_norm,price_pos_in_range_24_norm,spearman,0.8873820963479786
XRPUSDT,24,ema_slope_50_z,ema_spread_21_50_z,spearman,0.8863498908587291
XRPUSDT,24,dist_ema_9_z,log_ret_6_z,spearman,0.881541871495211
XRPUSDT,24,RSI_30_bounded,RSI_72_bounded,spearman,0.8803158314526469
XRPUSDT,24,ema_slope_100_z,dist_ema_200_z,spearman,0.8698682373120533
XRPUSDT,24,dist_ema_200_z,ema_slope_200_z,spearman,0.8689608897954435
XRPUSDT,24,ema_slope_50_z,dist_ema_100_z,spearman,0.8684682508865397
XRPUSDT,24,dist_ema_100_z,ema_spread_9_21_z,spearman,0.8677507741302978
XRPUSDT,24,dist_ema_200_z,dist_to_high_168_sqrt_z,spearman,0.8654972457132295
XRPUSDT,24,dist_ema_100_z,ema_slope_100_z,spearman,0.8643337803286714
XRPUSDT,24,RSI_72_bounded,price_pos_in_range_168_norm,spearman,0.8638841030955832
XRPUSDT,24,RSI_30_bounded,price_pos_in_range_72_norm,spearman,0.8619606645310217
XRPUSDT,24,ema_slope_100_z,ema_spread_9_21_z,spearman,0.8619417772954302
XRPUSDT,24,dist_ema_200_z,price_pos_in_range_24_norm,spearman,0.8606096419333216
XRPUSDT,24,RSI_14_bounded,price_pos_in_range_24_norm,spearman,0.8578922909818109
BTCUSDT,48,MOM_pct_72_z,log_ret_72_z,spearman,0.9999307878967326
BTCUSDT,48,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9934353693360427
BTCUSDT,48,ema_slope_21_z,ema_spread_9_21_z,spearman,0.9829794796898517
BTCUSDT,48,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,spearman,0.9797298219177503
BTCUSDT,48,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,spearman,0.9758462020350834
BTCUSDT,48,range_sqrt_z,vol_expansion_72_log1p_z,spearman,0.9740751676770247
BTCUSDT,48,dist_ema_100_z,dist_ema_200_z,spearman,0.9740696913546653
BTCUSDT,48,ema_slope_100_z,ema_slope_200_z,spearman,0.9705619117189161
BTCUSDT,48,dist_ema_50_z,dist_ema_100_z,spearman,0.960442601491318
BTCUSDT,48,ema_slope_100_z,ema_spread_21_50_z,spearman,0.9597338855402738
BTCUSDT,48,ema_slope_50_z,ema_slope_100_z,spearman,0.9566619144339064
BTCUSDT,48,ema_slope_50_z,ema_spread_9_21_z,spearman,0.9420786330370746
BTCUSDT,48,RSI_30_bounded,price_pos_in_range_72_norm,spearman,0.9326165847528204
BTCUSDT,48,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,spearman,0.9310052492993319
BTCUSDT,48,dist_ema_200_z,ema_slope_200_z,spearman,0.9280620498524548
BTCUSDT,48,RSI_72_bounded,price_pos_in_range_168_norm,spearman,0.9274812340296864
BTCUSDT,48,dist_ema_50_z,ema_spread_9_21_z,spearman,0.926402451890459
BTCUSDT,48,dist_ema_100_z,ema_slope_100_z,spearman,0.9226195006731466
BTCUSDT,48,ema_slope_200_z,ema_spread_21_50_z,spearman,0.9198987189088833
BTCUSDT,48,RSI_14_bounded,RSI_30_bounded,spearman,0.9191991514705905
BTCUSDT,48,ema_slope_100_z,dist_ema_200_z,spearman,0.9181167773071425
BTCUSDT,48,dist_ema_21_z,dist_ema_50_z,spearman,0.9177488061208174
BTCUSDT,48,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,spearman,0.9160139517111205
BTCUSDT,48,ema_slope_9_z,ema_slope_21_z,spearman,0.9155186624803688
BTCUSDT,48,ema_slope_21_z,ema_slope_50_z,spearman,0.9145496471698933
BTCUSDT,48,RSI_14_bounded,price_pos_in_range_24_norm,spearman,0.9134441578114159
BTCUSDT,48,vol_expansion_24_log1p_z,vol_expansion_168_log1p_z,spearman,0.9116015745712511
BTCUSDT,48,ema_slope_50_z,dist_ema_100_z,spearman,0.9113690560744224
BTCUSDT,48,ema_slope_50_z,ema_spread_21_50_z,spearman,0.9093710571304282
BTCUSDT,48,dist_ema_9_z,dist_ema_21_z,spearman,0.9088117424735824
BTCUSDT,48,range_sqrt_z,vol_expansion_24_log1p_z,spearman,0.9078939958644102
BTCUSDT,48,dist_ema_50_z,ema_slope_50_z,spearman,0.9070281721341545
BTCUSDT,48,bb_pos_20_norm,price_pos_in_range_24_norm,spearman,0.902480112331623
BTCUSDT,48,RSI_14_bounded,bb_pos_20_norm,spearman,0.8991461492289153
BTCUSDT,48,ema_spread_9_21_z,log_ret_24_z,spearman,0.8979324903370574
BTCUSDT,48,dist_ema_9_z,log_ret_6_z,spearman,0.8964740618262831
BTCUSDT,48,vol_ratio_24_log1p_z,vol_ratio_168_log1p_z,spearman,0.8959456607546354
BTCUSDT,48,RSI_30_bounded,RSI_72_bounded,spearman,0.8939297044120664
BTCUSDT,48,dist_ema_50_z,dist_ema_200_z,spearman,0.8904500239654981
BTCUSDT,48,ema_slope_21_z,dist_ema_50_z,spearman,0.8863554945680301
BTCUSDT,48,dist_ema_100_z,ema_slope_200_z,spearman,0.8815171793368919
BTCUSDT,48,ema_slope_50_z,ema_slope_200_z,spearman,0.8808274504681367
BTCUSDT,48,dist_ema_21_z,MOM_pct_14_z,spearman,0.8772013070248376
BTCUSDT,48,ema_slope_9_z,dist_ema_21_z,spearman,0.8757992879543631
BTCUSDT,48,dist_ema_100_z,ema_spread_21_50_z,spearman,0.8745379758952387
BTCUSDT,48,dist_ema_50_z,MOM_pct_30_z,spearman,0.8734061677360829
BTCUSDT,48,ema_spread_9_21_z,MOM_pct_30_z,spearman,0.8726124353504279
BTCUSDT,48,dist_ema_50_z,log_ret_24_z,spearman,0.8711146635649014
BTCUSDT,48,dist_ema_200_z,ema_spread_21_50_z,spearman,0.861642013655543
BTCUSDT,48,dist_ema_21_z,ema_spread_9_21_z,spearman,0.8615846383207635
BTCUSDT,48,ema_slope_9_z,MACD_hist_pct_z,spearman,0.860689319716013
BTCUSDT,48,ema_slope_9_z,MOM_pct_14_z,spearman,0.8601084490578725
BTCUSDT,48,ema_slope_50_z,MOM_pct_30_z,spearman,0.8589174099282775
BTCUSDT,48,ema_slope_21_z,MOM_pct_14_z,spearman,0.8586877031542388
BTCUSDT,48,ema_slope_50_z,dist_ema_200_z,spearman,0.8578593475672909
BTCUSDT,48,dist_ema_21_z,ema_slope_21_z,spearman,0.8549701947230971
BTCUSDT,48,dist_ema_100_z,ema_spread_9_21_z,spearman,0.8549519026798934
BTCUSDT,48,ema_slope_21_z,log_ret_24_z,spearman,0.8525207101602859
BTCUSDT,48,ema_slope_9_z,ema_spread_9_21_z,spearman,0.8524498769849888
DOGEUSDT,48,MOM_pct_72_z,log_ret_72_z,spearman,0.9998560476424972
DOGEUSDT,48,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9876309495563925
DOGEUSDT,48,ema_slope_21_z,ema_spread_9_21_z,spearman,0.9818722205397855
