feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,z_window,sample,regime,alpha_out,prev_position
ret_accel_24_72_z,56640,15,0.0035663841807908603,0.48912429378531064,0.4855768737389864,0.00011641501524311642,0.0035474200463242456,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,19.0,24,full_train,exit,0.5,1
vol_ratio_168_log1p_z,56640,15,0.0032132768361581854,0.48877118644067796,0.48558332940633486,0.00010407469353762,0.0031878570343431,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,20.0,24,full_train,exit,0.5,1
vol_ratio_72_log1p_z,56640,15,0.0032132768361581854,0.48877118644067796,0.4855890068409428,0.0001723780296086939,0.0031821795997351576,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,21.0,24,full_train,exit,0.5,1
volatility_24_sqrt_z,56640,15,0.0031426553672315727,0.48870056497175135,0.48558305315434197,0.00014125230950823428,0.0031175118174093797,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,22.0,24,full_train,exit,0.5,1
ema_slope_21_z,56640,15,0.0031073446327683496,0.4886652542372881,0.4855727347445567,0.00011227600723293161,0.003092519492731427,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,23.0,24,full_train,exit,0.5,1
dist_ema_100_z,56640,15,0.0030720338983050155,0.4886299435028248,0.48557760057584837,9.244585852552273e-05,0.0030523429269764257,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,24.0,24,full_train,exit,0.5,1
ema_slope_50_z,56640,15,0.003001412429378514,0.4885593220338983,0.48556873560744845,9.747414621977257e-05,0.002990586426449837,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,25.0,24,full_train,exit,0.5,1
MACD_hist_pct_z,56640,15,0.0029661016949152352,0.488524011299435,0.48556628580426014,5.861385257327454e-05,0.0029577254951748677,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,26.0,24,full_train,exit,0.5,1
dist_to_high_72_sqrt_z,56640,15,0.002718926553672285,0.48827683615819206,0.48559116718659373,0.00013484703278583476,0.0026856689715983317,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,27.0,24,full_train,exit,0.5,1
vol_expansion_72_log1p_z,56640,15,0.002295197740113053,0.48785310734463283,0.4855671410802414,6.711770932427377e-05,0.002285966264391426,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,28.0,24,full_train,exit,0.5,1
ema_slope_100_z,56640,15,0.0022598870056496634,0.48781779661016944,0.4855690207223226,8.721608554157096e-05,0.0022487758878468322,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,29.0,24,full_train,exit,0.5,1
ADX_30_scaled,56640,15,0.0022245762711864403,0.4877824858757062,0.4855739752428555,8.459290456014027e-05,0.002208510632850713,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,30.0,24,full_train,exit,0.5,1
ADX_14_scaled,56640,15,0.002083333333333326,0.4876412429378531,0.4855653689021815,5.3509786994795164e-05,0.00207587403567161,0.0,1,0.4855579096045198,0.4434322033898305,0.4855579096045198,28320,28320,3776,1888,ok,31.0,24,full_train,exit,0.5,1
