z_window,feature,stability_count,median_union_rank,mean_union_rank,min_union_rank,median_best_rank,median_mean_rank,median_best_hie_norm,mean_best_hie_norm,median_best_p_value,median_regime_coverage_topk,n_entry_source,n_exit_source,n_both_tie_source,samples_seen,full_train_union_rank,full_train_best_rank,full_train_best_hie_norm,full_train_best_p_value,full_train_regime_coverage_topk,full_train_union_rank_filled,full_train_best_rank_filled,full_train_best_hie_norm_filled,full_train_regime_coverage_topk_filled,stable_hie_rank_within_z,is_stable_ge2,stability_rate,stability_top_k
24,ADX_30_scaled,3,5.0,7.0,4,3.0,6.0,0.017176907089663407,0.020136460805270262,0.0,2.0,3,0,0,early_train|late_train|mid_train,4.0,2.0,0.010842597028752898,0.0,1.0,4.0,2.0,0.010842597028752898,1.0,1,True,1.0,14
24,dist_to_high_24_sqrt_z,3,7.0,6.0,3,4.0,8.5,0.015101017934123329,0.0188831679861514,0.0,1.0,3,0,0,early_train|late_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,2,True,1.0,14
24,price_pos_in_range_72_norm,3,9.0,9.666666666666666,6,7.0,12.5,0.01821986080796556,0.019961134095536587,0.0,1.0,0,3,0,early_train|late_train|mid_train,2.0,1.0,0.009918938128219035,0.0,1.0,2.0,1.0,0.009918938128219035,1.0,3,True,1.0,14
24,ema_spread_100_200_z,2,5.5,5.5,2,4.0,14.0,0.01920474825036189,0.01920474825036189,0.0,1.5,1,1,0,early_train|mid_train,7.0,5.0,0.0069192759088438915,0.0,1.0,7.0,5.0,0.0069192759088438915,1.0,4,True,0.6666666666666666,14
24,RSI_72_bounded,2,6.5,6.5,3,4.0,7.5,0.015118601710488289,0.015118601710488289,0.0,1.5,1,0,1,early_train|mid_train,1.0,1.0,0.011085802973268444,0.0,2.0,1.0,1.0,0.011085802973268444,2.0,5,True,0.6666666666666666,14
24,ema_spread_9_21_z,2,8.0,8.0,5,5.5,10.0,0.02080431742239791,0.02080431742239791,0.0,1.5,0,2,0,early_train|late_train,,,,,,10000.0,10000.0,-inf,0.0,6,True,0.6666666666666666,14
24,RSI_30_bounded,2,8.5,8.5,5,5.5,13.5,0.016213048463183888,0.016213048463183888,0.0,1.5,1,1,0,early_train|mid_train,5.0,3.0,0.0076109243614782,0.0,2.0,5.0,3.0,0.0076109243614782,2.0,7,True,0.6666666666666666,14
24,ema_spread_50_100_z,2,8.5,8.5,4,6.0,9.5,0.022543081032510737,0.022543081032510737,0.0,1.5,0,2,0,early_train|late_train,13.0,9.0,0.00566606438333056,0.0,1.0,13.0,9.0,0.00566606438333056,1.0,8,True,0.6666666666666666,14
24,dist_ema_21_z,2,14.0,14.0,14,11.0,17.0,0.019902679895482278,0.019902679895482278,0.0,1.5,2,0,0,early_train|late_train,,,,,,10000.0,10000.0,-inf,0.0,9,True,0.6666666666666666,14
24,log_ret_72_z,1,1.0,1.0,1,1.0,1.0,0.045552554052298744,0.045552554052298744,0.0,2.0,0,0,1,late_train,10.0,7.0,0.006567193557998063,0.0,2.0,10.0,7.0,0.006567193557998063,2.0,10,False,0.3333333333333333,14
