feature,entry_rank,entry_hie_norm,entry_p_value,entry_hie_observed,entry_hie_null_mean,exit_rank,exit_hie_norm,exit_p_value,exit_hie_observed,exit_hie_null_mean,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,z_window,sample,alpha_out
ema_slope_50_z,29.0,0.000631654978772378,0.0,0.5138771186440678,0.5132454636652954,25.0,0.002990586426449837,0.0,0.4885593220338983,0.48556873560744845,25.0,27.0,0.002990586426449837,0.0,0,exit,35,24,full_train,0.5
MACD_hist_pct_z,49.0,-1.9825397522543753e-06,0.51,0.5132415254237288,0.5132435079634811,26.0,0.0029577254951748677,0.0,0.488524011299435,0.48556628580426014,26.0,37.5,0.0029577254951748677,0.0,0,exit,36,24,full_train,0.5
vol_expansion_72_log1p_z,33.0,0.0003560721089024277,0.0,0.5135946327683616,0.5132385606594592,28.0,0.002285966264391426,0.0,0.48785310734463283,0.4855671410802414,28.0,30.5,0.002285966264391426,0.0,0,exit,37,24,full_train,0.5
body_sqrt_z,28.0,0.0008517596259833837,0.0,0.5140889830508475,0.5132372234248641,50.0,0.00023676501634722902,0.01,0.4858050847457627,0.4855683197294155,28.0,39.0,0.0008517596259833837,0.0,0,entry,38,24,full_train,0.5
ema_slope_100_z,32.0,0.0004609887773012744,0.0,0.5137005649717514,0.5132395761944502,29.0,0.0022487758878468322,0.0,0.48781779661016944,0.4855690207223226,29.0,30.5,0.0022487758878468322,0.0,0,exit,39,24,full_train,0.5
ema_slope_200_z,30.0,0.0005940319173598496,0.0,0.5138418079096045,0.5132477759922447,44.0,0.0005941224254129573,0.0,0.4861581920903955,0.48556406966498256,30.0,37.0,0.0005941224254129573,0.0,0,entry,40,24,full_train,0.5
ema_slope_9_z,48.0,-1.0898004727533106e-06,0.54,0.5132415254237288,0.5132426152242016,33.0,0.0019147676933564672,0.0,0.48750000000000004,0.4855852323066436,33.0,40.5,0.0019147676933564672,0.0,0,exit,41,24,full_train,0.5
range_sqrt_z,34.0,0.00035084477871383246,0.0,0.5135946327683616,0.5132437879896478,49.0,0.0002946211035279589,0.03,0.48587570621468923,0.48558108511116127,34.0,41.5,0.00035084477871383246,0.0,0,entry,42,24,full_train,0.5
dist_to_low_168_sqrt_z,35.0,0.00020974627177006155,0.01,0.5134533898305085,0.5132436435587384,37.0,0.0015013867134044956,0.0,0.4870762711864407,0.4855748844730362,35.0,36.0,0.0015013867134044956,0.0,0,entry,43,24,full_train,0.5
dist_to_low_72_sqrt_z,54.0,-7.172863815241293e-06,0.59,0.5132415254237288,0.513248698287544,36.0,0.0015871360079930397,0.0,0.48718220338983054,0.4855950673818375,36.0,45.0,0.0015871360079930397,0.0,0,exit,44,24,full_train,0.5
log_ret_6_z,36.0,0.00014008520703112648,0.0,0.513382768361582,0.5132426831545509,40.0,0.0007914172289109622,0.0,0.48637005649717513,0.48557863926826417,36.0,38.0,0.0007914172289109622,0.0,0,entry,45,24,full_train,0.5
dist_to_low_24_sqrt_z,37.0,7.928231622800208e-05,0.06,0.5133121468926553,0.5132328645764273,41.0,0.0006677973173910834,0.01,0.48622881355932196,0.4855610162419309,37.0,39.0,0.0006677973173910834,0.01,0,entry,46,24,full_train,0.5
ema_spread_21_50_z,38.0,7.755023913225134e-05,0.04,0.5133121468926554,0.5132345966535231,53.0,-8.29142838526531e-06,0.45,0.4855579096045197,0.485566201032905,38.0,45.5,7.755023913225134e-05,0.04,0,entry,47,24,full_train,0.5
vol_expansion_24_log1p_z,41.0,1.3139694463593088e-05,0.37,0.5132415254237288,0.5132283857292652,39.0,0.0013631024742892794,0.0,0.4869350282485876,0.4855719257742983,39.0,40.0,0.0013631024742892794,0.0,0,exit,48,24,full_train,0.5
MOM_pct_30_z,46.0,-6.97863887566541e-07,0.5,0.5132415254237288,0.5132422232876164,42.0,0.0006248576643396175,0.0,0.48619350282485874,0.4855686451605191,42.0,44.0,0.0006248576643396175,0.0,0,exit,49,24,full_train,0.5
